client,vendor_id,vendor_name,tag_id,tag_name,expires_at,sync_date
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f0f3c3beb6279e947be0c2,Clayco,,2026-09-23
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f0f3c3beb6279e947be0c0,Adolfson & Peterson,,2026-09-23
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",69f0b71c7b24cf3460d0be83,4th Request,,2026-09-23
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0f3c3beb6279e947be0c5,Gray Construction,,2026-09-23
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",69f0b71c7b24cf3460d0be81,3rd Request,,2026-09-23
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",69f0f3c3beb6279e947be0cb,Structure Tones,,2026-09-23
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f0f3c3beb6279e947be0c6,Hitt Contracting,,2026-09-23
QTS Data Centers,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,69f0f3c3beb6279e947be0c1,Brasfield & Gorie,,2026-09-23
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0f3c3beb6279e947be0cd,White - Turner,,2026-09-23
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f0b71c7b24cf3460d0be8b,Final Request,,2026-09-23
