client,id,vendor_id,vendor_name,name,types,policy_number,status,processing,reviewed_at,archived_at,expiration_date,issue_date,flagged,flag_level,flag_notes,applies_to_all,insurer_names,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",6a2c73107ea10850bf9fee8e,69fded0c62446148bd848aff,"1-800-Pack Rat, LLC","Block Real Estate Services, LLC_1-800-Pack-Rat, LLC_25-26 Master_6-12-2026_531717594.pdf",,,processed,false,2026-06-15,,2026-10-01,2026-06-12,false,,,false,Arch Insurance Company; Arch Indemnity Insurance Company; Scottsdale Insurance Company; Allied World Assurance Company (U.S.) Inc.,2026-06-12,,2026-07-12
"Block Real Estate Services, LLC",6a2599e5781c6c479f910adb,69fded0c62446148bd848afc,1248 Holdings LLC,1248 Holdings COI.pdf,,,processed,false,2026-06-08,,2027-04-01,,false,,,false,,2026-06-07,,2026-07-12
"Block Real Estate Services, LLC",6a3e916bc35829c634df586f,69fded0c62446148bd848afc,1248 Holdings LLC,1248 COI - Block - 4.26-4.27-updated.pdf,,,processed,false,2026-06-30,,2027-06-25,2026-06-22,false,,,false,Stonington Insurance Company,2026-06-26,,2026-07-12
"Block Real Estate Services, LLC",6a4d1c695709039c14737df1,69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.",2627 Chubb Worker's Compensation (Ionos) Policy (1).pdf,,,processed,false,,,,,false,,,false,,2026-07-07,,2026-07-12
"Block Real Estate Services, LLC",6a4d1c6a5709039c14737e12,69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.",2627 AIG Umbrella (Ionos Inc.) Reverse Flow Policy.pdf,,,processed,false,,,,,false,,,false,,2026-07-07,,2026-07-12
"Block Real Estate Services, LLC",6a4d1c6b5709039c14737e32,69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.",AIG Policy for IONOS INC_Policy No 5519841_20260101_v01 (1).pdf,,,processed,false,,,,,false,,,false,,2026-07-07,,2026-07-12
"Block Real Estate Services, LLC",6a4d1c6c5709039c14737e52,69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.","2627 AIG General Liability (Ionos, Inc) Policy (PCO w $1,000,000 limit).pdf",,,processed,false,,,,,false,,,false,,2026-07-07,,2026-07-12
"Block Real Estate Services, LLC",6a05e6f6fe7b4a8a036194e9,69fded0c62446148bd848b02,24 Hour Check Cashing,CERT_Block_Real_Estate_Services_LLC_218628_179011.pdf,,,processed,false,2026-06-01,,2027-04-16,2026-03-23,false,,,false,"Acuity, A Mutual Insurance Company",2026-05-14,,2026-07-12
"Block Real Estate Services, LLC",6a282910da52b0ee99d2eb99,69fded0c62446148bd848b05,"Big Biscuit / 27 Biscuits, LLC",Big Biscuit Industries LLC_Block Real Estate Services.pdf,,,processed,false,2026-06-11,,2027-05-01,2026-06-08,false,,,false,American Guarantee and Liability Insurance Company; Zurich American Insurance Company,2026-06-09,,2026-07-12
"Block Real Estate Services, LLC",6a3960fbaccacb8cab636f22,69fded0c62446148bd848b14,Academy Bank,Updated COI.pdf,,,processed,false,2026-06-23,,2026-08-18,2026-06-18,false,,,false,Travelers Property Casualty Company of America; The Charter Oak Fire Insurance Company,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a394c69accacb8cab636d9b,69fded0c62446148bd848b0e,A.N.D. Design Studio LLC,COI FOR KCG.pdf,,,processed,false,2026-06-30,,2027-04-01,,false,,,false,ACE Property and Casualty Insurance Company,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a4eab67c4f53220af8d6a08,69fded0c62446148bd848b0e,A.N.D. Design Studio LLC,COI FOR KCG- 7.8.26 update.pdf,,,processed,false,,,,,false,,,false,,2026-07-08,,2026-07-12
"Block Real Estate Services, LLC",6a315fda77799616d66ce2b5,69fded0c62446148bd848b1a,Actuarial Resources Corporation (ARC),c_oBlockRealEstateServicesLLC_W46698189.pdf,,,processed,false,2026-06-17,,2026-08-31,2026-06-15,false,,,false,"Greenwich Insurance Company; XL Insurance America, Inc.",2026-06-16,,2026-07-12
"Block Real Estate Services, LLC",6a26f800caa475a04620536a,69fded0c62446148bd848b1d,"Adams Cable Equipment, Inc.",Updated COI 16200.pdf,,,processed,false,2026-06-11,,2025-09-01,2026-03-31,false,,,false,Liberty Mutual Fire Insurance Company; Liberty Insurance Corporation; Evanston Insurance Company,2026-06-08,,2026-07-12
"Block Real Estate Services, LLC",6a199b589d7340e121a98009,69fded0c62446148bd848b26,"Advanced Auto / Advanced Stores Co., Inc.",cert_CLE_ALLEN and GLORIA BLOCK FAMILY LIMITED_6889424_9.pdf,,,processed,false,2026-06-01,,2027-06-01,2026-05-28,false,,,true,ACE American Insurance Company; ACE Property and Casualty Insurance Company; SEE ACORD 101,2026-05-29,,2026-07-12
"Block Real Estate Services, LLC",6a3d8232900a41a58c79428f,69fded0c62446148bd848b29,Advanced Pharmaceuticals LLC,"Cert 26-27 - PERG Buildings, LLC.pdf",,,processed,false,2026-06-30,,2026-09-08,2026-06-19,false,,,false,Nautilus Insurance Company; Markel American Insurance Company,2026-06-25,,2026-07-12
"Block Real Estate Services, LLC",6a283a433f91c94eefb0cb18,69fded0c62446148bd848b2c,Advanced Turf Solutions Inc,"Advanced Turf Solutions, Inc. - Block Real Estate Services, LLC.pdf",,,processed,false,2026-06-11,,2026-07-01,,false,,,false,Allied Insurance Company of America; Nationwide Mutual Insurance Company; Nationwide General Insurance Company,2026-06-09,,2026-07-12
"Block Real Estate Services, LLC",6a07267b7ee88c9e36194d1a,69fded0d62446148bd848b35,"Aircraft Electrical / AEE-EMF, Inc.",BlockRealEstateServicesLLC.pdf,,,processed,false,2026-06-02,,2026-12-16,,false,,,false,,2026-05-15,,2026-07-12
"Block Real Estate Services, LLC",6a3beb8e9af3fe11c94296ce,69fded0c62446148bd848b32,Advocate Construction Inc,block wc.pdf,,,processed,false,2026-06-25,,2026-10-01,2025-09-23,false,,,false,SUNZ Insurance Company,2026-06-24,,2026-07-12
"Block Real Estate Services, LLC",6a3c3a3a471d21bbc95f6cc3,69fded0c62446148bd848b32,Advocate Construction Inc,BlockRealEstateServicesLLC.pdf,,,processed,false,2026-06-25,,2027-04-01,2026-06-24,false,,,false,Admiral Insurance Company,2026-06-24,,2026-07-12
"Block Real Estate Services, LLC",6a3011df85085468184506f6,69fded0d62446148bd848b3e,AgForce Transport Services / Consolidated Grain and Barge Co.,"HLBT Associates, LLC.pdf",,,processed,false,2026-06-15,,2027-05-01,2026-06-15,false,,,false,Nationwide Agribusiness Insurance Company; Westfield Specialty Insurance Company,2026-06-15,,2026-07-12
"Block Real Estate Services, LLC",6a358e981f6b786b44770062,69fded0d62446148bd848b3b,Agape Montessori School/Pulliam Properties LLC,Certificate - 2026-06-19T134625.722.pdf,,,processed,false,2026-06-22,,2027-06-21,2026-06-19,false,,,false,West Bend Insurance Company,2026-06-19,,2026-07-12
"Block Real Estate Services, LLC",6a4bd0b2c8e29468b5d94158,69fded0d62446148bd848b4d,Allstate Insurance,CERTIFICATE OF INSURANCE (COI) Reinhart agency.Pdf,,,processed,false,2026-07-06,,2027-04-09,2026-07-06,false,,,false,Property and Casualty Insurance Company of Hartford,2026-07-06,,2026-07-12
"Block Real Estate Services, LLC",6a500b9f1efef97be758f311,69fded0d62446148bd848b44,All Access Garage Doors,co Block Real Estate Services_All Access Garage Doors LLC_Master Certificate 2026_7-9-2026_2120121567.pdf,,,processed,false,,,2026-12-05,2026-07-09,false,,,false,OWNERS INS CO; AUTO OWNERS INS CO; Travelers Property Casualty Company of America,2026-07-09,,2026-07-12
"Block Real Estate Services, LLC",6a22fd479bc28d99e321a29a,69fded0d62446148bd848b62,"AMSCO Supply / Flegler Investment Co., Inc.","BLOCK REAL ESTATE SERVICES, LLC.pdf",,,processed,false,2026-06-08,,2026-07-30,2026-06-05,false,,,false,Great Northern Insurance Company; The Travelers Indemnity Company; The Travelers Indemnity Company of America; Travelers Property Casualty Company of America; ACE American Insurance Company,2026-06-05,,2026-07-12
"Block Real Estate Services, LLC",6a319dfe14a7a365eb479528,69fded0d62446148bd848b62,"AMSCO Supply / Flegler Investment Co., Inc.",cert_ATL_BLOCK REAL ESTATE SERVICES LLC_6189400_2.pdf,,,processed,false,2026-06-17,,2026-10-01,2026-06-16,false,,,false,Zurich American Insurance Company; Zurich Insurance Europe AG,2026-06-16,,2026-07-12
"Block Real Estate Services, LLC",6a2c6b4c4096067a7a7bad82,69fded0d62446148bd848b59,"Hamilton Plumbing / Roger The Plumber / American Residential Services, LLC (ARS)",8425 Hamilton COI for Block 12JUN2026.pdf,,,processed,false,2026-06-15,,2026-10-01,2025-09-24,false,,,false,Liberty Mutual Fire Insurance Company; Twin City Fire Insurance Company; Liberty Insurance Corporation,2026-06-12,,2026-07-12
"Block Real Estate Services, LLC",6a06215b1f712c628e56646c,69fded0d62446148bd848b65,Amsted Rail Company Inc,CollegeCrossingCDLLCandMarleyCollegeCrossingCDLLC_W45275293.pdf,,,processed,false,2026-06-02,,2027-03-31,2026-03-31,true,low,"<p>GL limits are low and umbrella does not follow form, is my assessment correct?</p>
<p><br></p>
<p>You are correct <span data-entityid=""6939ca46ef5dc7a165ca2078"" data-entityname=""@AbbeyRobinson"" data-entitytype=""mention"">@AbbeyRobinson</span>, but DOO and page 2 states they have another GL policy, but it's a SIR. We would need to contact Block to see if that is acceptable.</p>",false,Liberty Mutual Fire Insurance Company; AIG Specialty Insurance Company; LM Insurance Corporation; Liberty Insurance Corporation,2026-05-14,,2026-07-12
"Block Real Estate Services, LLC",6a4eb0d03314f98773ba373a,69fded0d62446148bd848b6b,Anixter Inc,26-27 WESCO Landlords - Block Real Estate Services.pdf,,,processed,false,,,2027-06-04,2026-07-08,false,,,false,Travelers Property Casualty Company of America,2026-07-08,,2026-07-12
"Block Real Estate Services, LLC",6a47ca0f5cdf4704ae0efe2a,69fded0d62446148bd848b77,"Apex Products, LLC",Scan2026-06-30_144448BlockCert.pdf,,,processed,false,2026-07-06,,2027-06-28,2026-06-11,false,,,false,West Bend Insurance Company,2026-07-03,,2026-07-12
"Block Real Estate Services, LLC",6a399fb6accacb8cab637009,69fded0e62446148bd848b7d,"APLOS, Inc.",Aplós COI 2026.pdf,,,processed,false,2026-06-23,,2026-07-17,2026-03-12,false,,,false,Nautilus Insurance Company; AmTrust Insurance Company; Evanston Insurance Company; Old Republic Professional Liability Inc,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a2c707c7ea10850bf9fee54,69fded0e62446148bd848b86,ARC Physical Therapy Plus,COI 1318 Belton Block real Estate Umbrella 9.30.25 - 9.30.26.pdf,,,processed,false,2026-06-15,,2026-09-30,2026-05-08,false,,,false,Lexington Insurance Company,2026-06-12,,2026-07-12
"Block Real Estate Services, LLC",6a32eb9c4f89dc4a36d328c0,69fded0e62446148bd848b86,ARC Physical Therapy Plus,COI 1318 Belton Block Real Estate Services LLC - 3.15.26 - 3.15.27.pdf,,,processed,false,2026-06-18,,2027-03-15,2026-06-17,false,,,false,The Insurance Company of the State of Pennsylvania,2026-06-17,,2026-07-12
"Block Real Estate Services, LLC",6a2727d38f5f15a8835c79d5,69fded0e62446148bd848b92,Arthur J Gallagher Risk Management Services Inc,"46 PC Investors, LLC_Arthur J. Gallagher, LLC_25-26 Landlord Casualty C_6-8-2026_1568910419.pdf",,,processed,false,2026-06-11,,2026-10-01,,false,,,true,Arch Insurance Company; The Continental Insurance Company,2026-06-08,,2026-07-12
"Block Real Estate Services, LLC",6a27280d540f27b382a1ed5f,69fded0e62446148bd848b92,Arthur J Gallagher Risk Management Services Inc,"46 PC Investors, LLC_Arthur J. Gallagher, LLC_25-26 Landlord Property C_6-8-2026_1111070370.pdf",,,processed,false,2026-06-11,,2026-10-01,2026-06-08,false,,,true,"XL Insurance America, Inc.",2026-06-08,,2026-07-12
"Block Real Estate Services, LLC",6a399e75a17b73c16bc35db9,69fded0e62446148bd848b9b,Aspire Wealth Management LLC,ASPIRE WEALTH_BLOCK RE_COI.pdf,,,processed,false,2026-06-23,,2027-03-20,2026-06-22,false,,,false,Hartford Underwriters Insurance Company,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a2327b9fe918aea40160ac1,69fded0e62446148bd848b98,Aspen Properties Group,Policy 3.7 2026 to 3.7 2027.pdf,,,processed,false,2026-06-08,,2027-03-07,,false,,,false,United Wisconsin Insurance Company,2026-06-05,,2026-07-12
"Block Real Estate Services, LLC",6a3efffe57a0d280997f8d45,69fded0e62446148bd848b98,Aspen Properties Group,Aspen_Properties_Group_Nationwide_Commercial_Umbrella_Renewal_2025-2026.pdf.pdf,,,processed,false,2026-06-30,,,,false,,,false,,2026-06-26,,2026-07-12
"Block Real Estate Services, LLC",6a3f00ebc35829c634df634e,69fded0e62446148bd848b98,Aspen Properties Group,Aspen_Properties_Group_Nationwide_Businessowners_Policy_Renewal_2025-2026.pdf.pdf,,,processed,false,2026-06-30,,,,false,,,false,,2026-06-26,,2026-07-12
"Block Real Estate Services, LLC",6a3aab84fc287516f387ea8c,69fded0e62446148bd848bad,Recognition Plus Audio Video Graphics,Certificate of Insurance.pdf,,,processed,false,2026-06-23,,2027-02-01,2026-06-23,false,,,false,Twin City Fire Insurance Company,2026-06-23,,2026-07-12
"Block Real Estate Services, LLC",6a2ab748071d75e4ccfca1a1,69fded0e62446148bd848ba1,Asurion LLC,GL Waiver of Subro Endorsement.pdf,,,processed,false,2026-06-15,,2027-04-30,,false,,,false,,2026-06-11,,2026-07-12
"Block Real Estate Services, LLC",6a3010d17828333b350b9ce5,69fded0e62446148bd848ba1,Asurion LLC,COI - Pinnacle Corporate.pdf,,,processed,false,2026-06-17,,2027-04-30,2026-06-15,false,,,false,Liberty Insurance Corporation; Liberty Mutual Fire Insurance Company; LM Insurance Corporation,2026-06-15,,2026-07-12
"Block Real Estate Services, LLC",6a4e8bf6bc03800db2d4ea5c,69fded0e62446148bd848ba1,Asurion LLC,PINNACLE CORPORATE - 14163813.pdf,,,processed,false,,,2027-04-30,2026-07-08,false,,,false,Liberty Insurance Corporation; Liberty Mutual Fire Insurance Company; LM Insurance Corporation,2026-07-08,,2026-07-12
"Block Real Estate Services, LLC",6a18aa1b9ef1cffe57d01607,69fded0e62446148bd848bb0,AVI-SPL LLC,NOT FOUND - AVI-SPL LLC.pdf,,,processed,false,2026-06-02,,2027-04-17,2026-04-08,false,,,false,Zurich American Insurance Company; American Guarantee and Liability Insurance Company; American Zurich Insurance Company; Federal Insurance Company; Allied World Assurance Company (U.S.) Inc.; Crum & Forster Specialty Insurance Company,2026-05-28,,2026-07-12
"Block Real Estate Services, LLC",6a50ef24c8b75240b608c395,69fded0e62446148bd848baa,Auction Merchandise of KC,Document_260626_121652.pdf,,,processed,false,,,,,false,,,false,,2026-07-10,,2026-07-12
"Block Real Estate Services, LLC",6a39520bd382314fdae2ff3f,69fded0e62446148bd848bb3,Axiom Strategies LLC,COBLOC~1.PDF,,,processed,false,2026-06-22,,2026-08-07,2026-06-22,false,,,false,Evanston Insurance Company,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a26fc7c723912a814569421,69fded0e62446148bd848bb9,"Pet Supplies Plus / B&B Pet Products, LLC",Block Real Estate Services_Lenexa Property 25-26.pdf,,,processed,false,2026-06-11,,2026-12-01,2026-06-08,false,,,false,Selective Insurance Company of the Southeast,2026-06-08,,2026-07-12
"Block Real Estate Services, LLC",6a39895ed1bf38e72a670fab,69fded0e62446148bd848bbc,Bachelor Controls Inc,"Perg Building LLC co Block Real Estate Servi_Bachelor Controls, Inc._2026 - 2027 Master - Bach_6-22-2026_120642820.pdf",,,processed,false,2026-06-23,,2027-03-01,2026-06-22,false,,,false,Liberty Insurance Corporation; Travelers Property Casualty Company of America; Accelerant Specialty Insurance Company; Continental Casualty Company,2026-06-22,,2026-07-12
"Block Real Estate Services, LLC",6a316395b12134bfb4442095,69fded0e62446148bd848bc2,Bank of America,COI MO8-118 3.15.26-3.15.27.pdf,,,processed,false,2026-06-17,,2026-08-01,2026-03-25,false,,,false,"Greenwich Insurance Company; National Union Fire Insurance Company of Pittsburgh, Pa.",2026-06-16,,2026-07-12
"Block Real Estate Services, LLC",6a32e2a7081d3b93fbe8b135,69fded0e62446148bd848bbf,Baking With A Bass / Kayla Bass,CERTIFICATE OF INSURANCE (COI).Pdf,,,processed,false,2026-06-17,,2027-03-06,2026-06-17,false,,,false,Hartford Underwriters Insurance Company; Hartford Fire Insurance Company,2026-06-17,,2026-07-12
"Block Real Estate Services, LLC",6a34433b3a28b57599a17d33,69fded0f62446148bd848bcb,"Banner Logistics, Inc",1600 Vernon Street XXS Certificate.pdf,,,processed,false,2026-06-24,,2026-11-29,2026-06-17,false,,,false,"Service American Indemnity Company; Nautilus Insurance Company; TRANSGUARD INSURANCE COMPANY OF AMERICA, INC.",2026-06-18,,2026-07-12
