client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/07/2026,07/07/2026 16:34:11
Action Plumbing Construction,42,0,0,0,07/07/2026,07/07/2026 16:34:11
Bauer Foundation Corp.,182,0,0,0,07/07/2026,07/07/2026 16:34:11
Canadian Pacific Kansas City,5542,0,0,0,07/07/2026,07/07/2026 16:34:11
"Capital Railroad Contracting, Inc.",97,0,0,0,07/07/2026,07/07/2026 16:34:11
EMMES,293,0,0,0,07/07/2026,07/07/2026 16:34:11
ESS Companies,2710,0,0,0,07/07/2026,07/07/2026 16:34:11
Gart Properties,300,0,0,0,07/07/2026,07/07/2026 16:34:11
Kolb Grading,120,0,0,0,07/07/2026,07/07/2026 16:34:11
Mizuho Bank,27,0,0,0,07/07/2026,07/07/2026 16:34:11
"Musselman & Hall Contractors, LLC",14,0,0,0,07/07/2026,07/07/2026 16:34:11
"Paragon Geophysical Services, Inc.",81,0,0,0,07/07/2026,07/07/2026 16:34:11
Scandroli Construction,904,0,0,0,07/07/2026,07/07/2026 16:34:11
Skyline Developers Construction LLC,16,0,0,0,07/07/2026,07/07/2026 16:34:11
The Abbey Management Company,572,0,0,0,07/07/2026,07/07/2026 16:34:11
Trinity Chemical Industries LLC,147,0,0,0,07/07/2026,07/07/2026 16:34:11
United Coal Company LLC,512,0,0,0,07/07/2026,07/07/2026 16:34:11
