client,vendor_id,vendor_name,vendor_type,status,email,contact_name,all_emails,website,additional_notes,address,city,region,country,postal_code,documents_count,non_responsive_since,last_request_sent,external_codes,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fded0c62446148bd848af9,1&1 IONOS Inc,Party,active,e-invoice@1and1.org,,e-invoice@1and1.org,,,"100 North 18th Street, Philadelphia, Pennsylvania, 19103",Philadelphia,Pennsylvania,United States,19103,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848afc,1248 Holdings LLC,Party,active,accountspayable@12-48.com,,accountspayable@12-48.com,,,"4622 Pennsylvania Avenue, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848aff,"1-800-Pack Rat, LLC",Party,active,rent@1800packrat.com,,rent@1800packrat.com,,,"11640 Northpark Drive, Wake Forest, North Carolina, 27587",Wake Forest,North Carolina,United States,27587,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b02,24 Hour Check Cashing,Party,active,dave@waldofinancial.com,,dave@waldofinancial.com,,,"8437 Wornall Road, Kansas City, Missouri, 64114",Kansas City,Missouri,United States,64114,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b05,27 Biscuits LLC,Party,active,linda@bigbiscuit.com,,linda@bigbiscuit.com,,,"5215 West 94th Terrace, Prairie Village, Kansas, 66207",Prairie Village,Kansas,United States,66207,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b08,6tinos LLC,Party,active,tsciortino55@gmail.com,,tsciortino55@gmail.com,,,"315 Northeast Vivion Road, Kansas City, Missouri, 64118",Kansas City,Missouri,United States,64118,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b0b,717 Office Group LLC,Party,active,larry@criterionlc.com,,larry@criterionlc.com,,,"800 West 47th Street, Kansas City, Missouri, 64112",Kansas City,Missouri,United States,64112,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b0e,A.N.D. Design Studio LLC,Party,active,and.designstudioco@gmail.com,,and.designstudioco@gmail.com,,,"852 Southwest Highland Avenue, Grain Valley, Missouri, 64029",Grain Valley,Missouri,United States,64029,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b11,Abdalla Osman,Party,active,Abdalla.m.osman@gmail.com,,Abdalla.m.osman@gmail.com,,,"1715 West 39th Street, Kansas City, Missouri, 64111",Kansas City,Missouri,United States,64111,0,,,,2026-05-08,2026-05-08,2026-05-13
"Block Real Estate Services, LLC",69fded0c62446148bd848b14,Academy Bank,Party,active,jroe@academybank.com,,jroe@academybank.com,,,"1111 Main Street, Kansas City, Missouri, 64105",Kansas City,Missouri,United States,64105,0,,,,2026-05-08,2026-05-08,2026-05-13
