client,total_insureds,compliant,non_compliant,pending,sync_date,sync_timestamp
A G Equipment Company,1876,0,0,0,07/15/2026,07/15/2026 12:28:52
Action Plumbing Construction,42,0,0,0,07/15/2026,07/15/2026 12:28:52
Bauer Foundation Corp.,190,0,0,0,07/15/2026,07/15/2026 12:28:52
Canadian Pacific Kansas City,5542,0,0,0,07/15/2026,07/15/2026 12:28:52
"Capital Railroad Contracting, Inc.",97,0,0,0,07/15/2026,07/15/2026 12:28:52
EMMES,293,0,0,0,07/15/2026,07/15/2026 12:28:52
ESS Companies,2710,0,0,0,07/15/2026,07/15/2026 12:28:52
Gart Properties,300,0,0,0,07/15/2026,07/15/2026 12:28:52
Kolb Grading,120,0,0,0,07/15/2026,07/15/2026 12:28:52
Mizuho Bank,27,0,0,0,07/15/2026,07/15/2026 12:28:52
"Musselman & Hall Contractors, LLC",14,0,0,0,07/15/2026,07/15/2026 12:28:52
"Paragon Geophysical Services, Inc.",81,0,0,0,07/15/2026,07/15/2026 12:28:52
Scandroli Construction,908,0,0,0,07/15/2026,07/15/2026 12:28:52
Skyline Developers Construction LLC,16,0,0,0,07/15/2026,07/15/2026 12:28:52
The Abbey Management Company,572,0,0,0,07/15/2026,07/15/2026 12:28:52
Trinity Chemical Industries LLC,147,0,0,0,07/15/2026,07/15/2026 12:28:52
United Coal Company LLC,512,0,0,0,07/15/2026,07/15/2026 12:28:52
