client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
Canadian Pacific Kansas City,02e99267-bdd4-4834-84f4-eec381684e97,,,,,2026-08-04T21:36:33,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,1127d68e-7fdf-4028-9d89-f61c9811acef,,f8f798fb-1b1a-4ea8-9523-642f3c49d854,,,2026-08-04T23:28:38,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,511df19b-7668-4a24-a922-ef9ee7ac13a6,,,,,2026-08-04T21:36:33,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,5338327d-1492-4afd-bc75-15f3e731f8ce,,,,,2026-08-05T03:12:12,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,a69bb098-bf5f-473b-8503-09cdca368fcd,,233ea2ca-fb61-4a98-abfe-b6f3666279c8,,,2026-08-04T21:36:33,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,b6fcd061-e7b4-47fa-8f86-b556b091ba4f,,,,,2026-08-04T21:36:33,,,,,,08/05/2026,08/05/2026 05:45:26
Canadian Pacific Kansas City,eb142128-1fdd-41c8-8979-6bab5b7ac45b,,,,,2026-08-05T10:11:20,,,,,,08/05/2026,08/05/2026 05:45:26
EMMES,0622e1ae-0f9e-45b7-97c4-fe3632102499,,,,,2026-08-04T10:09:14,,,,,,08/05/2026,08/05/2026 05:45:26
Gart Properties,3e96bd56-d765-400b-aae3-951b0c5a44fe,,,,,2026-08-04T17:56:55,,,,,,08/05/2026,08/05/2026 05:45:26
Gart Properties,72809f6f-5dd7-4ba2-b012-c191a9cd7af9,,,,,2026-07-23T13:41:46,,,,,,08/05/2026,08/05/2026 05:45:26
Gart Properties,7ffc1b29-b22f-406c-8a2e-83e73a0ad780,,,,,2026-08-04T17:56:55,,,,,,08/05/2026,08/05/2026 05:45:26
Scandroli Construction,28447c06-2308-4507-bf45-21117c48140e,,571d78cc-4d69-4b8f-9896-e7260b134f57,,,2026-08-05T02:58:31,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,2c9e87c9-d97d-4c49-b9e6-d2a9b4a511d6,,571d78cc-4d69-4b8f-9896-e7260b134f57,,,2026-08-05T02:58:31,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,964b4061-94e8-4bb4-b67f-1b939991aae4,,,,,2026-08-05T09:39:08,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,ab736134-4767-4c5f-beba-8af0938c0b6b,,1c22a44e-99ef-47be-b729-cdb961b4eaef,,,2026-08-05T08:37:40,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,b1f00f5b-3619-4cd5-8a2d-b2c0738f2a76,,571d78cc-4d69-4b8f-9896-e7260b134f57,,,2026-08-05T02:58:31,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,e586c3d4-f3a9-4563-bc99-301de49aecd5,,571d78cc-4d69-4b8f-9896-e7260b134f57,,,2026-08-05T02:58:31,,,,,,08/05/2026,08/05/2026 05:45:40
Scandroli Construction,fe673fa6-fbe7-475e-bbb7-1e6db6d12c65,,636ae314-329f-40d5-ab36-402242dfbddb,,,2026-08-05T09:39:08,,,,,,08/05/2026,08/05/2026 05:45:40
The Abbey Management Company,ccdea435-992a-4b7a-bb52-e8093ebae9cf,,,,,2026-08-04T21:15:27,,,,,,08/05/2026,08/05/2026 05:45:42
